,avgfee,avgfeerate,avgtxsize,blockhash,height,ins,maxfee,maxfeerate,maxtxsize,medianfee,mediantime,mediantxsize,minfee,minfeerate,mintxsize,outs,subsidy,swtotal_size,swtotal_weight,swtxs,time,total_out,total_size,total_weight,totalfee,txs,utxo_increase,utxo_size_inc
0,4196,5,907,00000000000000000009a8a019a7e05cf9dd888543f8e1a5449dea200c3922f5,703600,917,236385,211,46682,722,1633395640,254,113,1,188,1045,625000000,57042,146115,158,1633398665,52374292370,178693,632719,826721,198,128,10130
1,6583,15,601,00000000000000000001dab19d08bf7a5a7dc350855eade998b75d6b74acff05,703601,6180,2546496,390,102640,1134,1633396122,226,167,1,188,9363,625000000,1051674,2598714,1760,1633400115,3791679762926,1401057,3996246,15333187,2330,3183,235899
2,1337,3,511,000000000000000000095b45b8b7acc4e928d7ee0a413fecede707b145d0238b,703602,4026,100000,597,29747,327,1633397240,283,110,1,187,4495,625000000,578477,1462988,1459,1633400239,2560378823140,837850,2500480,2191189,1639,469,63565
3,4640,12,518,000000000000000000077ac614d0fa8f6ddd9bea05676d9c7d999308510f1f7d,703603,5778,2546496,371,102579,800,1633397728,247,110,1,188,7768,625000000,1064310,2674590,2063,1633401249,3743004487423,1302513,3627402,11665765,2515,1990,166873
4,5140,18,400,0000000000000000000bf192140431a034e0ee713a13355bc36d0ec516f16094,703604,537,371800,260,10538,864,1633398608,283,134,1,189,889,625000000,102550,259522,247,1633401367,107575540780,126069,353598,1619141,316,352,29726
5,4112,12,513,0000000000000000000caabe1a99baa01f3502f4417a122efdcfc8eafd67031b,703605,2407,488440,341,91475,894,1633398665,254,141,1,187,3292,625000000,475662,1137924,849,1633401784,421218916941,554928,1454988,4445613,1082,885,71491
6,3189,9,481,000000000000000000004497e2add84b8cd34734302932d5a7c87ed5f3b49f4d,703606,1104,99900,316,25180,765,1633400115,247,133,1,188,1582,625000000,194190,484560,396,1633401997,215831862760,246265,692860,1629876,512,478,38346
7,4185,12,498,0000000000000000000d68b32c7b7504f2b3b3ef8c66daa26098b9a43eb15349,703607,3319,670700,474,38642,707,1633400239,249,111,1,188,4457,625000000,611060,1502786,1185,1633402646,3152777312958,734647,1997134,6173578,1476,1138,98193
8,4537,10,553,0000000000000000000159ac5df1b8c86dc67d43949870500a1dd71aed1101cd,703608,558,240000,211,34747,856,1633401249,247,135,1,189,1363,625000000,85053,219048,193,1633402766,54711899928,143301,452040,1175112,260,805,60485
9,4614,10,710,0000000000000000000403c53bd0a49264c41658030aa2cb81c248e7d801e6b3,703609,2250,359260,597,50267,900,1633401367,260,133,1,189,2527,625000000,421254,969786,575,1633403049,244325848387,508022,1316858,3299436,716,277,25115
