fees,vsize,time,sats/vbyte
6860,188,2022-06-11 20:52:31-04:00,36
1060,209,2022-06-11 20:52:28-04:00,5
606,110,2022-06-11 20:55:43-04:00,5
1320,110,2022-06-11 20:52:22-04:00,12
6996,632,2022-06-11 20:52:22-04:00,11
1016,113,2022-06-11 20:52:22-04:00,8
768,111,2022-06-11 20:52:22-04:00,6
573,190,2022-06-11 20:52:22-04:00,3
1356,113,2022-06-11 20:52:24-04:00,12
336,144,2022-06-11 20:52:24-04:00,2
1728,141,2022-06-11 20:52:42-04:00,12
1305,142,2022-06-11 20:52:26-04:00,9
1356,113,2022-06-11 20:52:26-04:00,12
5700,190,2022-06-11 20:52:27-04:00,30
671,144,2022-06-11 20:52:27-04:00,4
2136,177,2022-06-11 20:52:28-04:00,12
1826,166,2022-06-11 20:52:28-04:00,11
378,169,2022-06-11 20:52:28-04:00,2
541,181,2022-06-11 20:54:34-04:00,2
1704,142,2022-06-11 20:52:30-04:00,12
1332,111,2022-06-11 20:52:30-04:00,12
760,379,2022-06-11 20:52:30-04:00,2
445,222,2022-06-11 20:52:31-04:00,2
2609,412,2022-06-11 20:52:32-04:00,6
45000,259,2022-06-11 20:52:32-04:00,173
2148,178,2022-06-11 20:52:32-04:00,12
419,208,2022-06-11 20:54:32-04:00,2
1030,205,2022-06-11 20:52:32-04:00,5
2051,168,2022-06-11 20:52:33-04:00,12
1975,178,2022-06-11 20:52:34-04:00,11
1249,254,2022-06-11 20:52:34-04:00,4
1704,142,2022-06-11 20:52:35-04:00,12
852,440,2022-06-11 20:53:46-04:00,1
1305,142,2022-06-11 20:52:35-04:00,9
330,111,2022-06-11 20:52:35-04:00,2
2953,142,2022-06-11 20:52:35-04:00,20
1710,153,2022-06-11 20:52:35-04:00,11
1336,212,2022-06-11 20:52:37-04:00,6
5760,192,2022-06-11 20:52:37-04:00,30
1576,141,2022-06-11 20:52:37-04:00,11
4147,358,2022-06-11 20:52:38-04:00,11
6496,364,2022-06-11 20:52:39-04:00,17
2398,144,2022-06-11 20:52:39-04:00,16
1332,111,2022-06-11 20:52:40-04:00,12
466,113,2022-06-11 20:52:40-04:00,4
549,142,2022-06-11 20:52:40-04:00,3
2879,141,2022-06-11 20:52:43-04:00,20
2065,225,2022-06-11 20:52:43-04:00,9
336,144,2022-06-11 20:52:43-04:00,2
426,142,2022-06-11 20:52:45-04:00,3
1025,204,2022-06-11 20:52:45-04:00,5
330,142,2022-06-11 20:52:46-04:00,2
7499,165,2022-06-11 20:52:46-04:00,45
2172,181,2022-06-11 20:52:46-04:00,12
1752,277,2022-06-11 20:52:46-04:00,6
338,111,2022-06-11 20:52:47-04:00,3
419,141,2022-06-11 20:52:47-04:00,2
1477,134,2022-06-11 20:52:48-04:00,11
1573,142,2022-06-11 20:52:50-04:00,11
907,204,2022-06-11 20:52:51-04:00,4
1728,287,2022-06-11 20:52:51-04:00,6
21153,736,2022-06-11 20:52:52-04:00,28
1460,142,2022-06-11 20:52:52-04:00,10
1400,382,2022-06-11 20:52:52-04:00,3
660,165,2022-06-11 20:52:55-04:00,4
889,141,2022-06-11 20:53:04-04:00,6
332,166,2022-06-11 20:52:57-04:00,2
1692,141,2022-06-11 20:52:58-04:00,12
826,247,2022-06-11 20:52:58-04:00,3
2816,176,2022-06-11 20:53:02-04:00,16
426,142,2022-06-11 20:53:02-04:00,3
500,110,2022-06-11 20:53:03-04:00,4
134,134,2022-06-11 20:53:03-04:00,1
892,893,2022-06-11 20:53:03-04:00,0
1586,142,2022-06-11 20:53:05-04:00,11
671,144,2022-06-11 20:53:05-04:00,4
288,144,2022-06-11 20:53:05-04:00,2
6762,299,2022-06-11 20:53:05-04:00,22
498,166,2022-06-11 20:53:06-04:00,3
3149,190,2022-06-11 20:53:06-04:00,16
2975,141,2022-06-11 20:53:08-04:00,21
2152,177,2022-06-11 20:53:08-04:00,12
1586,142,2022-06-11 20:53:08-04:00,11
206,202,2022-06-11 20:53:08-04:00,1
100000,1692,2022-06-11 20:53:09-04:00,59
1586,142,2022-06-11 20:53:09-04:00,11
1405,223,2022-06-11 20:53:09-04:00,6
17851,1608,2022-06-11 20:53:10-04:00,11
659,142,2022-06-11 20:53:10-04:00,4
1586,142,2022-06-11 20:53:11-04:00,11
1586,142,2022-06-11 20:53:11-04:00,11
889,141,2022-06-11 20:53:11-04:00,6
895,142,2022-06-11 20:53:11-04:00,6
1000,110,2022-06-11 20:53:11-04:00,9
3925,254,2022-06-11 20:53:12-04:00,15
1576,141,2022-06-11 20:53:12-04:00,11
895,142,2022-06-11 20:53:12-04:00,6
1000,223,2022-06-11 20:53:12-04:00,4
1920,121,2022-06-11 20:53:13-04:00,15
3247,223,2022-06-11 20:53:15-04:00,14
1232,111,2022-06-11 20:53:15-04:00,11
1314,220,2022-06-11 20:53:15-04:00,5
423,142,2022-06-11 20:53:15-04:00,2
3499,348,2022-06-11 20:53:15-04:00,10
441,144,2022-06-11 20:53:15-04:00,3
7520,166,2022-06-11 20:53:15-04:00,45
741,141,2022-06-11 20:53:15-04:00,5
548,236,2022-06-11 20:53:15-04:00,2
180,153,2022-06-11 20:53:17-04:00,1
1576,141,2022-06-11 20:53:17-04:00,11
1083,178,2022-06-11 20:53:18-04:00,6
1576,141,2022-06-11 20:53:18-04:00,11
432,144,2022-06-11 20:53:18-04:00,3
4400,223,2022-06-11 20:53:20-04:00,19
330,142,2022-06-11 20:53:20-04:00,2
715,111,2022-06-11 20:53:20-04:00,6
889,141,2022-06-11 20:53:20-04:00,6
1332,111,2022-06-11 20:53:20-04:00,12
889,141,2022-06-11 20:53:21-04:00,6
1078,212,2022-06-11 20:53:21-04:00,5
5670,5613,2022-06-11 20:53:21-04:00,1
1296,141,2022-06-11 20:53:22-04:00,9
1375,247,2022-06-11 20:53:22-04:00,5
31824,205,2022-06-11 20:53:25-04:00,155
921,206,2022-06-11 20:53:25-04:00,4
328,165,2022-06-11 20:53:25-04:00,1
5700,190,2022-06-11 20:53:26-04:00,30
2820,141,2022-06-11 20:53:26-04:00,20
3247,192,2022-06-11 20:53:26-04:00,16
1595,144,2022-06-11 20:53:26-04:00,11
460,216,2022-06-11 20:53:26-04:00,2
243,121,2022-06-11 20:53:26-04:00,2
274,173,2022-06-11 20:53:26-04:00,1
423,142,2022-06-11 20:53:27-04:00,2
2414,111,2022-06-11 20:53:28-04:00,21
1698,142,2022-06-11 20:53:28-04:00,11
2508,210,2022-06-11 20:53:28-04:00,11
1595,144,2022-06-11 20:53:28-04:00,11
255,111,2022-06-11 20:53:28-04:00,2
1728,144,2022-06-11 20:53:29-04:00,12
1910,190,2022-06-11 20:53:29-04:00,10
579,192,2022-06-11 20:53:29-04:00,3
339,331,2022-06-11 20:53:29-04:00,1
1796,111,2022-06-11 20:53:30-04:00,16
17136,166,2022-06-11 20:53:33-04:00,103
1700,191,2022-06-11 20:54:45-04:00,8
2266,205,2022-06-11 20:53:34-04:00,11
1156,288,2022-06-11 20:53:34-04:00,4
2500,110,2022-06-11 20:53:34-04:00,22
2953,141,2022-06-11 20:53:34-04:00,20
2002,164,2022-06-11 20:53:34-04:00,12
2129,233,2022-06-11 20:53:34-04:00,9
767,111,2022-06-11 20:53:34-04:00,6
534,209,2022-06-11 20:53:34-04:00,2
330,142,2022-06-11 20:53:34-04:00,2
129,110,2022-06-11 20:53:35-04:00,1
377,142,2022-06-11 20:53:35-04:00,2
1609,144,2022-06-11 20:53:36-04:00,11
220,142,2022-06-11 20:53:36-04:00,1
641,111,2022-06-11 20:53:36-04:00,5
1692,141,2022-06-11 20:53:37-04:00,12
4157,254,2022-06-11 20:53:38-04:00,16
1356,113,2022-06-11 20:53:38-04:00,12
641,110,2022-06-11 20:53:40-04:00,5
3762,225,2022-06-11 20:53:41-04:00,16
756,144,2022-06-11 20:53:41-04:00,5
1749,173,2022-06-11 20:53:41-04:00,10
1000,222,2022-06-11 20:53:43-04:00,4
1617,208,2022-06-11 20:53:44-04:00,7
1704,142,2022-06-11 20:53:45-04:00,12
741,141,2022-06-11 20:53:46-04:00,5
146,142,2022-06-11 20:53:46-04:00,1
2450,240,2022-06-11 20:53:47-04:00,10
2464,222,2022-06-11 20:53:48-04:00,11
1900,134,2022-06-11 20:53:49-04:00,14
3482,315,2022-06-11 20:53:49-04:00,11
1142,142,2022-06-11 20:53:49-04:00,8
547,180,2022-06-11 20:53:49-04:00,3
327,141,2022-06-11 20:53:49-04:00,2
188,182,2022-06-11 20:53:49-04:00,1
1728,144,2022-06-11 20:53:50-04:00,12
846,141,2022-06-11 20:53:50-04:00,6
7048,405,2022-06-11 20:53:50-04:00,17
1332,111,2022-06-11 20:53:50-04:00,12
24145,960,2022-06-11 20:53:52-04:00,25
1730,142,2022-06-11 20:53:52-04:00,12
1356,113,2022-06-11 20:53:52-04:00,12
1332,111,2022-06-11 20:53:52-04:00,12
17226,3262,2022-06-11 20:53:52-04:00,5
746,142,2022-06-11 20:53:52-04:00,5
942,315,2022-06-11 20:53:52-04:00,2
