,0
0,337
1,73
2,69
3,42
4,66
5,178
6,61
7,356
8,614
9,131
10,37
11,195
12,218
13,79
14,261
15,103
16,540
17,365
18,416
19,302
20,553
21,603
22,679
23,928
24,559
25,335
26,742
27,702
28,230
29,296
30,258
31,589
32,471
33,81
34,210
35,309
36,116
37,748
38,31
39,301
40,766
41,451
42,469
43,433
44,556
45,719
46,675
47,605
48,734
49,560
50,196
51,519
52,743
53,150
54,503
55,456
56,408
57,708
58,443
59,208
60,349
61,301
62,475
63,112
64,646
65,491
66,334
67,425
68,882
69,530
70,554
71,263
72,348
73,141
74,174
75,363
76,461
77,560
78,613
79,595
80,489
81,165
82,394
83,377
84,338
85,60
86,43
87,37
88,159
89,370
90,64
91,130
92,214
93,527
94,76
95,450
96,108
97,84
98,44
99,100
100,312
101,434
102,368
103,217
104,656
105,485
106,541
107,471
108,228
109,212
110,324
111,140
112,262
113,335
114,168
115,84
116,185
117,347
118,190
119,165
120,159
121,211
122,138
123,230
124,121
125,278
126,280
127,102
128,212
129,5
130,93
131,473
132,357
133,225
134,94
135,98
136,152
137,119
138,28
139,50
140,142
141,303
142,603
143,460
144,348
145,89
146,28
147,40
148,39
149,139
150,24
151,45
152,469
153,414
154,273
155,124
156,254
157,109
158,285
159,62
160,324
161,85
162,625
163,585
164,153
165,269
166,264
167,493
168,419
169,553
170,705
171,439
172,97
173,275
174,35
175,12
176,575
177,235
178,675
179,543
180,511
181,7
182,32
183,217
184,82
185,195
186,408
187,311
188,701
189,502
190,425
191,287
192,259
193,261
194,70
195,118
196,442
197,226
198,80
199,327
200,51
201,454
202,384
203,483
204,677
205,681
206,398
207,353
208,744
209,693
210,117
211,654
212,424
213,385
214,714
215,658
216,220
217,268
218,10
219,54
220,454
221,579
222,272
223,208
224,50
225,273
226,196
227,124
228,91
229,66
230,701
231,598
232,533
233,650
234,294
235,255
236,36
237,180
238,210
239,113
240,130
241,684
242,516
243,665
244,211
245,184
246,68
247,254
248,756
249,394
250,611
251,387
252,618
253,342
254,241
255,159
256,189
257,115
258,6
259,354
260,530
261,232
262,162
263,373
264,32
265,171
266,103
267,159
268,11
269,31
270,326
271,250
272,121
273,126
274,221
275,208
276,198
277,403
278,137
279,168
280,9
281,322
282,36
283,15
284,84
285,228
286,279
287,5
288,421
289,178
290,310
291,311
292,40
293,392
294,421
295,90
296,247
297,254
298,683
299,204
300,313
301,427
302,321
303,287
304,192
305,156
306,100
307,41
308,373
309,42
310,411
311,281
312,81
313,78
314,247
315,401
316,457
317,414
318,313
319,256
320,563
321,221
322,107
323,266
324,71
325,101
326,180
327,526
328,136
329,554
330,106
331,29
332,675
333,218
334,896
335,621
336,653
337,487
338,583
339,418
340,638
341,359
342,595
343,800
344,504
345,567
346,706
347,410
348,289
349,526
350,520
351,515
352,565
353,438
354,523
355,792
356,434
357,543
358,285
359,302
360,402
361,322
362,330
363,480
364,876
365,484
366,357
367,431
368,481
369,619
370,516
371,522
372,802
373,635
374,599
375,447
376,321
377,453
378,316
379,318
380,483
381,639
382,633
383,423
384,538
385,588
386,792
387,417
388,445
389,773
390,427
391,578
392,532
393,592
394,587
395,415
396,327
397,267
398,419
399,443
400,438
401,664
402,260
403,496
404,254
405,43
406,504
407,235
408,139
409,305
410,162
411,253
412,396
413,79
414,36
415,81
416,192
417,241
418,11
419,239
420,221
421,16
422,47
423,153
424,130
425,248
426,108
427,25
428,28
429,111
430,44
431,57
432,366
433,239
434,75
435,149
436,85
437,411
438,193
439,110
440,5
441,37
442,191
443,107
444,113
445,94
446,222
447,64
448,622
449,546
450,71
451,36
452,322
453,67
454,36
455,291
456,116
457,42
458,277
459,245
460,170
461,108
462,163
463,302
464,140
465,128
466,439
467,114
468,66
469,142
470,427
471,442
472,453
473,193
474,132
475,146
476,106
477,653
478,409
479,124
480,420
481,87
482,101
483,184
484,314
485,264
486,660
487,247
488,373
489,312
490,172
491,607
492,230
493,501
494,396
495,76
496,789
497,593
498,426
499,576
