,utxo_increase
0,-186
1,-924
2,-999
3,-1329
4,-1458
5,-1045
6,-667
7,1381
8,5070
9,5746
10,5767
11,5321
12,5535
13,5562
14,6278
15,6554
16,11930
17,7577
18,7693
19,3674
20,4590
21,5953
22,5053
23,8342
24,8817
25,8721
26,7481
27,7532
28,6902
29,7411
30,7532
31,11221
32,8239
33,7743
34,7369
35,7196
36,8350
37,10074
38,10176
39,9961
40,12177
41,12094
42,11163
43,10160
44,10689
45,12422
46,13846
47,12057
48,16804
49,17295
50,13286
51,14367
52,19529
53,18279
54,17849
55,16787
56,19750
57,21992
58,25922
59,19287
60,17699
61,16991
62,20891
63,18697
64,22394
65,23975
66,24898
67,25744
68,31391
69,34340
70,31356
71,28028
72,25576
73,22926
74,19613
75,17600
76,18236
77,20812
78,20565
79,23241
80,21114
81,14706
82,11216
83,8356
84,5110
85,1384
86,1579
87,1406
88,1621
89,3255
90,3530
91,4156
92,4633
93,8068
94,8209
95,8675
96,9258
97,9777
98,9692
99,9953
100,6955
101,6206
102,7787
103,7911
104,12901
105,13757
106,11894
107,12514
108,13322
109,14397
110,15218
111,15345
112,15636
113,14195
114,12484
115,12733
116,12331
117,13890
118,14941
119,15861
120,17021
121,17733
122,18540
123,19340
124,18632
125,18632
126,20819
127,21164
128,18903
129,18827
130,19499
131,23176
132,21636
133,28738
134,35705
135,35516
136,35319
137,35186
138,35294
139,35070
140,37323
141,34179
142,37792
143,35932
144,34259
145,34196
146,34381
147,34562
148,34684
149,34786
150,34917
151,34851
152,37265
153,37371
154,35878
155,35751
156,37005
157,36928
158,34420
159,34592
160,35570
161,35169
162,37469
163,36611
164,36570
165,36071
166,35611
167,34805
168,34315
169,34135
170,35267
171,32398
172,26384
173,29142
174,28831
175,28818
176,28263
177,27912
178,29719
179,28328
180,28270
181,28285
182,28278
183,28371
184,28588
185,29214
186,30200
187,30462
188,32304
189,31649
190,32355
191,30660
192,30902
193,30596
194,30839
195,29817
196,28416
197,28445
198,28960
199,30933
200,30848
201,29831
202,27786
203,26810
204,30064
205,31506
206,39407
207,39803
208,46430
209,47910
210,43480
211,47329
212,46143
213,46182
214,52041
215,52695
216,51393
217,51833
218,51869
219,51753
220,52724
221,54833
222,50976
223,51106
224,51325
225,51798
226,52315
227,52557
228,52762
229,53280
230,58981
231,59767
232,61149
233,61795
234,59504
235,58684
236,58643
237,58061
238,54274
239,53854
240,53283
241,56444
242,53739
243,55646
244,50019
245,49063
246,49647
247,50287
248,55534
249,55593
250,58485
251,58193
252,56455
253,56806
254,53984
255,54395
256,55322
257,55539
258,55626
259,59484
260,61469
261,57983
262,57546
263,58505
264,58592
265,57714
266,58063
267,58499
268,58515
269,58660
270,59294
271,59969
272,59717
273,59857
274,59614
275,60096
276,60232
277,61164
278,61868
279,57887
280,57799
281,56950
282,57061
283,57069
284,57376
285,57411
286,56867
287,61087
288,67520
289,66813
290,66057
291,68603
292,69161
293,70104
294,67837
295,61441
296,55708
297,50828
298,51158
299,45727
300,43677
301,42269
302,40416
303,37408
304,35774
305,35782
306,35232
307,35083
308,33321
309,33403
310,32556
311,32508
312,32525
313,32695
314,32693
315,32529
316,32626
317,31614
318,30561
319,30013
320,29813
321,25828
322,25177
323,24585
324,27087
325,26916
326,26521
327,25359
328,25396
329,24033
330,23263
331,23262
332,22448
333,22625
334,25736
335,24688
336,23316
337,22869
338,24144
339,21083
340,21701
341,18105
342,18987
343,22730
344,24781
345,25018
346,25339
347,22623
348,18663
349,18696
350,17794
351,18472
352,21165
353,25734
354,23909
355,28214
356,29010
357,27939
358,25071
359,22001
360,18481
361,17996
362,15693
363,16307
364,22777
365,22869
366,23643
367,24472
368,26218
369,26479
370,30550
371,26642
372,30977
373,36368
374,33106
375,31347
376,28495
377,28153
378,24947
379,22466
380,24368
381,28206
382,29219
383,27951
384,27382
385,30489
386,35794
387,33170
388,32302
389,38541
390,36957
391,36091
392,36384
393,37249
394,35946
395,34185
396,31420
397,30177
398,28071
399,27101
400,26214
401,32369
402,28227
403,26276
404,21962
405,21353
406,22657
407,22595
408,23293
409,23892
410,24638
411,25077
412,25854
413,25903
414,26103
415,26670
416,27604
417,28230
418,28264
419,27260
420,25058
421,24840
422,23893
423,24292
424,24850
425,25685
426,24946
427,25064
428,25363
429,25501
430,25841
431,25889
432,28281
433,29205
434,28949
435,29682
436,30533
437,32563
438,33363
439,33350
440,33294
441,33459
442,34261
443,34459
444,33089
445,32837
446,32420
447,32597
448,37073
449,37406
450,40648
451,41620
452,44389
453,44498
454,49040
455,49971
456,49467
457,49681
458,52990
459,55736
460,54409
461,54445
462,53917
463,54360
464,54771
465,55154
466,55065
467,49492
468,48022
469,45023
470,43147
471,41850
472,41503
473,41396
474,41183
475,36219
476,32616
477,33660
478,31569
479,32218
480,31081
481,31153
482,31189
483,31340
484,30573
485,30905
486,30704
487,37298
488,39274
489,36759
490,36457
491,36977
492,32732
493,33084
494,34652
495,34965
496,36425
497,36619
498,36509
499,35329
